tabla,fila,columna,tipo,severidad,descripcion,valor_original,valor_inyectado
vehiculo,10163,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,MX687KH,MX.687KH
vehiculo,10026,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,IG716OZ,IG.716OZ
vehiculo,10090,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,UW250EE,UW.250EE
vehiculo,10036,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,JM777HP,JM.777HP
vehiculo,10168,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,KE881OU,KE 881OU
vehiculo,10192,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,JF239DL,JF 239DL
vehiculo,10197,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,EU336AR,EU.336AR
vehiculo,10087,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,YM551VI,YM.551VI
vehiculo,10103,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,TV023PF,TV.023PF
vehiculo,10185,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,ME526VH,ME.526VH
vehiculo,10144,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,TK497DL,TK 497DL
vehiculo,10072,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,MW620MC,MW.620MC
vehiculo,10015,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,BY045AV,BY 045AV
vehiculo,10017,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,ZO073RM,ZO 073RM
vehiculo,10110,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,EH527CE,EH 527CE
vehiculo,10024,Dominio,TEXT_NORMALIZATION,baja,Dominio con espacios/puntuación,LF399TN,LF.399TN
vehiculo,10022,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,78592498,7859 2498
vehiculo,10002,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,29191411,2919 1411
vehiculo,10004,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,26299167,2629 9167
vehiculo,10054,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,27402029,2740 2029
vehiculo,10067,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,68727158,6872 7158
vehiculo,10040,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,74696082,7469 6082
vehiculo,10021,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,88378230,8837 8230
vehiculo,10186,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,15114366,1511 4366
vehiculo,10127,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,46123172,4612 3172
vehiculo,10094,RetiraDni,NUMERIC_FORMAT,baja,DNI con espacios,08242915,0824 2915
dispositivo,66,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"lunes, 07 de septiembre de 2026 04:43:46","lunes, 07 de septiembre de 2026 04:43:46"
dispositivo,3,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"domingo, 06 de septiembre de 2026 11:34:10","domingo, 06 de septiembre de 2026 11:34:10"
dispositivo,109,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"martes, 08 de septiembre de 2026 07:50:51","martes, 08 de septiembre de 2026 07:50:51"
dispositivo,176,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"martes, 30 de junio de 2026 01:43:51","martes, 30 de junio de 2026 01:43:51"
dispositivo,161,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"miércoles, 09 de septiembre de 2026 00:55:25","miércoles, 09 de septiembre de 2026 00:55:25"
dispositivo,146,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"miércoles, 09 de septiembre de 2026 10:45:37","miércoles, 09 de septiembre de 2026 10:45:37"
dispositivo,131,Hora de última transmisión,DATE_FORMAT,media,Formato de fecha inconsistente,"domingo, 06 de septiembre de 2026 21:46:51","domingo, 06 de septiembre de 2026 21:46:51"
vehiculo,10196,Dominio,MATCHING_DEFECT,media,Dominio duplicado,YP448WD,JF 239DL
vehiculo,10179,Dominio,MATCHING_DEFECT,media,Dominio duplicado,YR968MX,EU.336AR
vehiculo,10058,Dominio,MATCHING_DEFECT,media,Dominio duplicado,QA702NR,WI010ZE
vehiculo,10027,Dominio,MATCHING_DEFECT,media,Dominio duplicado,YT790PQ,PB186JN
vehiculo,10018,Dominio,MATCHING_DEFECT,media,Dominio duplicado,RS270AD,YX424LE
vehiculo,10158,Dominio,MATCHING_DEFECT,media,Dominio duplicado,OW278VS,OX249DC
vehiculo,10057,Dominio,MATCHING_DEFECT,media,Dominio duplicado,WI010ZE,TD929VR
