Matricula,Dominio,Dependencia,TipoVehiculo,Marca,Modelo,Color,NumeroChasis,NumeroMotor,Año,TipoCombustible,CapacidadTanque,RelacionConsumo,LimiteLitros,RetiraDni,RetiraNombre,Estado,DireccionGral,DireccionGralId
10001,EZ542SG,JEFATURA,PICK-UP,CHEVROLET,4381,GRIS,7408425485,16094657,2015,Diesel,69,10.72,435.03,71844563,OPERADOR_1,En Servicio,,15
10002,IX334GN,SUBJEFATURA CAPITAL,PICK-UP,FORD,6242,ROJO,5722109186,38032950,2022,Diesel,71,8.11,352.76,2919 1411,OPERADOR_2,En Servicio,,12
10003,TJ375UM,BRIGADA CIVIL,MOTOCICLETA,RENAULT,5768,BLANCO,1127358329,22437029,2018,Gasolina,13,25.49,239.76,56423647,OPERADOR_3,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10004,AG400RJ,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,FORD,2189,NEGRO,6502458983,90732056,2020,Gasolina,18,38.25,289.5,2629 9167,OPERADOR_4,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10005,CM281TR,POLICIA CAMINERA,CAMIÓN,TOYOTA,3484,NEGRO,6450487698,55686961,2015,Diesel,128,2.79,193.44,09153840,OPERADOR_5,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10006,JD492OO,SUBJEFATURA CAPITAL,MOTOCICLETA,RENAULT,5711,ROJO,3372154180,61333706,2020,Gasolina,16,27.38,470.45,47473605,OPERADOR_6,En Servicio,,12
10007,ZP772CO,PATRULLA RURAL NORTE,MOTOCICLETA,RENAULT,9456,BLANCO,6227882617,38544128,2022,Gasolina,18,36.32,386.57,75943359,OPERADOR_7,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10008,SR772XN,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,CHEVROLET,3780,AZUL,1751506978,51557188,2016,Gasolina,17,35.41,255.89,32614807,OPERADOR_8,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10009,IZ508BS,PATRULLA RURAL NORTE,PICK-UP,NISSAN,2706,NEGRO,2202283160,95407433,2025,Gasolina,66,8.47,302.79,66469118,OPERADOR_9,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10010,LS425RX,COMISARIA CAPITAL ZONA 1,SEDAN,FORD,4631,BLANCO,5743268921,73643273,2022,Gasolina,51,13.92,180.5,50181721,OPERADOR_10,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
